93,Geek rock,https://en.wikipedia.org/wiki/geekrock
94,Glam metal,https://en.wikipedia.org/wiki/glammetal
95,Glam punk,https://en.wikipedia.org/wiki/glampunk
96,Glam rock,https://en.wikipedia.org/wiki/glamrock
97,Goregrind,https://en.wikipedia.org/wiki/goregrind
98,Gospel blues,https://en.wikipedia.org/wiki/gospelblues
99,Gothabilly,https://en.wikipedia.org/wiki/gothabilly
100,Gothic metal,https://en.wikipedia.org/wiki/gothicmetal
101,Gothic rock,https://en.wikipedia.org/wiki/gothicrock
102,Grebo,https://en.wikipedia.org/wiki/grebo
103,Grindcore,https://en.wikipedia.org/wiki/grindcore
104,Grindie,https://en.wikipedia.org/wiki/grindie
105,Groove metal,https://en.wikipedia.org/wiki/groovemetal
106,Group Sounds,https://en.wikipedia.org/wiki/groupsounds
107,Grunge,https://en.wikipedia.org/wiki/grunge
108,Gypsy punk,https://en.wikipedia.org/wiki/gypsypunk
109,Hard rock,https://en.wikipedia.org/wiki/hardrock
110,Hardcore punk,https://en.wikipedia.org/wiki/hardcorepunk
111,Heartland rock,https://en.wikipedia.org/wiki/heartlandrock
112,Heavy metal,https://en.wikipedia.org/wiki/heavymetal
113,Hill country blues,https://en.wikipedia.org/wiki/hillcountryblues
114,Hip hop,https://en.wikipedia.org/wiki/hiphop
115,Hokum blues,https://en.wikipedia.org/wiki/hokumblues
116,Horror punk,https://en.wikipedia.org/wiki/horrorpunk
117,Indie folk,https://en.wikipedia.org/wiki/indiefolk
118,Indie pop,https://en.wikipedia.org/wiki/indiepop
119,Indie rock,https://en.wikipedia.org/wiki/indierock
120,Indietronica,https://en.wikipedia.org/wiki/indietronica
121,Indorock,https://en.wikipedia.org/wiki/indorock
122,Industrial metal,https://en.wikipedia.org/wiki/industrialmetal
123,Industrial rock,https://en.wikipedia.org/wiki/industrialrock
124,Instrumental rock,https://en.wikipedia.org/wiki/instrumentalrock
125,Italian occult psychedelia,https://en.wikipedia.org/wiki/italianoccultpsychedelia
126,Jangle pop,https://en.wikipedia.org/wiki/janglepop
127,Jazz blues,https://en.wikipedia.org/wiki/jazzblues
128,Jazz rock,https://en.wikipedia.org/wiki/jazzrock
129,Jersey Shore sound,https://en.wikipedia.org/wiki/jerseyshoresound
130,Jump blues,https://en.wikipedia.org/wiki/jumpblues
131,Kansas City blues,https://en.wikipedia.org/wiki/kansascityblues
132,Kawaii metal,https://en.wikipedia.org/wiki/kawaiimetal
133,Krautrock,https://en.wikipedia.org/wiki/krautrock
134,Latin alternative,https://en.wikipedia.org/wiki/latinalternative
135,Latin metal,https://en.wikipedia.org/wiki/latinmetal
136,Latin rock,https://en.wikipedia.org/wiki/latinrock
137,Louisiana blues,https://en.wikipedia.org/wiki/louisianablues
138,Madchester,https://en.wikipedia.org/wiki/madchester
139,Manila Sound,https://en.wikipedia.org/wiki/manilasound
140,Math rock,https://en.wikipedia.org/wiki/mathrock
141,Mathcore,https://en.wikipedia.org/wiki/mathcore
142,Medieval folk rock,https://en.wikipedia.org/wiki/medievalfolkrock
143,Medieval metal,https://en.wikipedia.org/wiki/medievalmetal
144,Melodic death metal,https://en.wikipedia.org/wiki/melodicdeathmetal
145,Melodic hardcore,https://en.wikipedia.org/wiki/melodichardcore
146,Memphis blues,https://en.wikipedia.org/wiki/memphisblues
147,Metalcore,https://en.wikipedia.org/wiki/metalcore
148,Mod revival,https://en.wikipedia.org/wiki/modrevival
149,Nardcore,https://en.wikipedia.org/wiki/nardcore
150,Neo-classical metal,https://en.wikipedia.org/wiki/neo-classicalmetal
151,Neo-prog,https://en.wikipedia.org/wiki/neo-prog
152,Neo-psychedelia,https://en.wikipedia.org/wiki/neo-psychedelia
153,Neoclassical dark wave,https://en.wikipedia.org/wiki/neoclassicaldarkwave
154,Neue Deutsche Härte,https://en.wikipedia.org/wiki/neuedeutschehärte
155,Neue Deutsche Welle,https://en.wikipedia.org/wiki/neuedeutschewelle
156,New Orleans blues,https://en.wikipedia.org/wiki/neworleansblues
157,New rave,https://en.wikipedia.org/wiki/newrave
158,New wave,https://en.wikipedia.org/wiki/newwave
159,New wave of new wave,https://en.wikipedia.org/wiki/newwaveofnewwave
160,New Weird America,https://en.wikipedia.org/wiki/newweirdamerica
161,Nintendocore,https://en.wikipedia.org/wiki/nintendocore
162,Noise pop,https://en.wikipedia.org/wiki/noisepop
163,Noise rock,https://en.wikipedia.org/wiki/noiserock
164,Nu gaze,https://en.wikipedia.org/wiki/nugaze
165,Nu metal,https://en.wikipedia.org/wiki/numetal
166,Ostrock,https://en.wikipedia.org/wiki/ostrock
167,Pagan metal,https://en.wikipedia.org/wiki/paganmetal
168,Pagan rock,https://en.wikipedia.org/wiki/paganrock
169,Paisley Underground,https://en.wikipedia.org/wiki/paisleyunderground
170,Piano blues,https://en.wikipedia.org/wiki/pianoblues
171,Piedmont blues,https://en.wikipedia.org/wiki/piedmontblues
172,Pinoy rock,https://en.wikipedia.org/wiki/pinoyrock
173,Pirate metal,https://en.wikipedia.org/wiki/piratemetal
174,Pop punk,https://en.wikipedia.org/wiki/poppunk
175,Pop rock,https://en.wikipedia.org/wiki/poprock
176,Pornogrind,https://en.wikipedia.org/wiki/pornogrind
177,Post-Britpop,https://en.wikipedia.org/wiki/post-britpop
178,Post-grunge,https://en.wikipedia.org/wiki/post-grunge
179,Post-hardcore,https://en.wikipedia.org/wiki/post-hardcore
180,Post-metal,https://en.wikipedia.org/wiki/post-metal
181,Post-punk,https://en.wikipedia.org/wiki/post-punk
182,Post-punk revival,https://en.wikipedia.org/wiki/post-punkrevival
183,Post-rock,https://en.wikipedia.org/wiki/post-rock
184,Power metal,https://en.wikipedia.org/wiki/powermetal
185,Power pop,https://en.wikipedia.org/wiki/powerpop
186,Powerviolence,https://en.wikipedia.org/wiki/powerviolence
187,Progressive metal,https://en.wikipedia.org/wiki/progressivemetal
188,Progressive rock,https://en.wikipedia.org/wiki/progressiverock
189,Protopunk,https://en.wikipedia.org/wiki/protopunk
190,Psychedelic rock,https://en.wikipedia.org/wiki/psychedelicrock
191,Psychobilly,https://en.wikipedia.org/wiki/psychobilly
192,Pub rock (Australia),https://en.wikipedia.org/wiki/pubrock(australia)
193,Pub rock (United Kingdom),https://en.wikipedia.org/wiki/pubrock(unitedkingdom)
194,Punk blues,https://en.wikipedia.org/wiki/punkblues
195,Punk blues,https://en.wikipedia.org/wiki/punkblues
196,Punk jazz,https://en.wikipedia.org/wiki/punkjazz
197,Punk rock,https://en.wikipedia.org/wiki/punkrock
198,Queercore,https://en.wikipedia.org/wiki/queercore
199,Raga rock,https://en.wikipedia.org/wiki/ragarock
200,Rap metal,https://en.wikipedia.org/wiki/rapmetal
201,Rap rock,https://en.wikipedia.org/wiki/raprock
202,Rapcore,https://en.wikipedia.org/wiki/rapcore
203,Reggae rock,https://en.wikipedia.org/wiki/reggaerock
204,Rhythm and blues (R&B),https://en.wikipedia.org/wiki/rhythmandblues(r&b)
205,Riot grrrl,https://en.wikipedia.org/wiki/riotgrrrl
206,Rock Against Communism,https://en.wikipedia.org/wiki/rockagainstcommunism
207,Rock and roll,https://en.wikipedia.org/wiki/rockandroll
208,Rock in Opposition,https://en.wikipedia.org/wiki/rockinopposition
209,Rockabilly,https://en.wikipedia.org/wiki/rockabilly
210,Roots rock,https://en.wikipedia.org/wiki/rootsrock
211,Sadcore,https://en.wikipedia.org/wiki/sadcore
212,Samba rock,https://en.wikipedia.org/wiki/sambarock
213,Screamo,https://en.wikipedia.org/wiki/screamo
214,Shock rock,https://en.wikipedia.org/wiki/shockrock
215,Shoegazing,https://en.wikipedia.org/wiki/shoegazing
216,Ska punk,https://en.wikipedia.org/wiki/skapunk
217,Skate punk,https://en.wikipedia.org/wiki/skatepunk
218,Slowcore,https://en.wikipedia.org/wiki/slowcore
219,Sludge metal,https://en.wikipedia.org/wiki/sludgemetal
220,Soft rock,https://en.wikipedia.org/wiki/softrock
221,Soul blues,https://en.wikipedia.org/wiki/soulblues
222,Southern metal,https://en.wikipedia.org/wiki/southernmetal
223,Southern rock,https://en.wikipedia.org/wiki/southernrock
224,Space rock,https://en.wikipedia.org/wiki/spacerock
225,Speed metal,https://en.wikipedia.org/wiki/speedmetal
226,St. Louis blues,https://en.wikipedia.org/wiki/st.louisblues
227,Stoner rock,https://en.wikipedia.org/wiki/stonerrock
228,Straight edge,https://en.wikipedia.org/wiki/straightedge
229,Street punk,https://en.wikipedia.org/wiki/streetpunk
230,Sufi rock,https://en.wikipedia.org/wiki/sufirock
231,Sunshine pop,https://en.wikipedia.org/wiki/sunshinepop
232,Surf music,https://en.wikipedia.org/wiki/surfmusic
233,Swamp blues,https://en.wikipedia.org/wiki/swampblues
234,Swamp pop,https://en.wikipedia.org/wiki/swamppop
235,Swedish death metal,https://en.wikipedia.org/wiki/swedishdeathmetal
236,Symphonic black metal,https://en.wikipedia.org/wiki/symphonicblackmetal
237,Symphonic metal,https://en.wikipedia.org/wiki/symphonicmetal
238,Symphonic rock,https://en.wikipedia.org/wiki/symphonicrock
239,Synthpop,https://en.wikipedia.org/wiki/synthpop
240,Taqwacore,https://en.wikipedia.org/wiki/taqwacore
241,Technical death metal,https://en.wikipedia.org/wiki/technicaldeathmetal
242,Teutonic thrash metal,https://en.wikipedia.org/wiki/teutonicthrashmetal
243,Texas blues,https://en.wikipedia.org/wiki/texasblues
244,Thrash metal,https://en.wikipedia.org/wiki/thrashmetal
245,Thrashcore,https://en.wikipedia.org/wiki/thrashcore
246,Traditional heavy metal,https://en.wikipedia.org/wiki/traditionalheavymetal
247,Trop rock,https://en.wikipedia.org/wiki/troprock
248,Tulsa Sound,https://en.wikipedia.org/wiki/tulsasound
249,Unblack metal,https://en.wikipedia.org/wiki/unblackmetal
250,Viking metal,https://en.wikipedia.org/wiki/vikingmetal
251,Viking rock,https://en.wikipedia.org/wiki/vikingrock
252,Visual kei,https://en.wikipedia.org/wiki/visualkei
253,Wagnerian rock,https://en.wikipedia.org/wiki/wagnerianrock
254,War metal,https://en.wikipedia.org/wiki/warmetal
255,West Coast blues,https://en.wikipedia.org/wiki/westcoastblues
256,Wizard rock,https://en.wikipedia.org/wiki/wizardrock
257,Yacht rock,https://en.wikipedia.org/wiki/yachtrock
258,Youth crew,https://en.wikipedia.org/wiki/youthcrew
